Trip ID,Year,Month,Species,Grade,Weight_kg
BOFI_07_08_2021,2021,July,Bigeye tuna,A,51.3
BOFI_07_08_2021,2021,July,Bigeye tuna,A,59.5
BOFI_07_08_2021,2021,July,Bigeye tuna,A,61.8
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,44.1
BOFI_07_08_2021,2021,July,Bigeye tuna,A,44.8
BOFI_07_08_2021,2021,July,Bigeye tuna,A,39.9
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,29
BOFI_07_08_2021,2021,July,Bigeye tuna,A,42.8
BOFI_07_08_2021,2021,July,Bigeye tuna,B ,27.9
BOFI_07_08_2021,2021,July,Bigeye tuna,A,40
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,38.7
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,40.2
BOFI_07_08_2021,2021,July,Bigeye tuna,A,49.5
BOFI_07_08_2021,2021,July,Bigeye tuna,A,54
BOFI_07_08_2021,2021,July,Bigeye tuna,B ,35.5
BOFI_07_08_2021,2021,July,Bigeye tuna,A,46.5
BOFI_07_08_2021,2021,July,Bigeye tuna,A,63.6
BOFI_07_08_2021,2021,July,Bigeye tuna,A,46.8
BOFI_07_08_2021,2021,July,Bigeye tuna,Not graded,41.3
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,30.2
BOFI_07_08_2021,2021,July,Yellowfin tuna,B+,32.5
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,34.7
BOFI_07_08_2021,2021,July,Yellowfin tuna,B+,20.7
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,34.3
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,40.8
BOFI_07_08_2021,2021,July,Yellowfin tuna,B+,32.7
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,32.2
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,38.4
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,29.8
BOFI_07_08_2021,2021,July,Bigeye tuna,A,34.8
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,35
BOFI_07_08_2021,2021,July,Bigeye tuna,B+,41.2
BOFI_07_08_2021,2021,July,Bigeye tuna,R,26.3
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,30
BOFI_07_08_2021,2021,July,Yellowfin tuna,B ,27.6
BOFI_07_08_2021,2021,July,Yellowfin tuna,R,21.5
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,38
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,28.7
BOFI_07_08_2021,2021,July,Yellowfin tuna,B+,27.5
BOFI_07_08_2021,2021,July,Yellowfin tuna,A,31.8
BOFI_07_08_2021,2021,July,Yellowfin tuna,B+,30
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,37.7
BOFI_07_21_2021,2021,July,Yellowfin tuna,B+,27.8
BOFI_07_21_2021,2021,July,Bigeye tuna,B+,31.6
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,39.4
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,33.7
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,36.3
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,36.8
BOFI_07_21_2021,2021,July,Yellowfin tuna,B ,25.6
BOFI_07_21_2021,2021,July,Yellowfin tuna,B+,35.3
BOFI_07_21_2021,2021,July,Yellowfin tuna,B+,32.2
BOFI_07_21_2021,2021,July,Bigeye tuna,B+,51.4
BOFI_07_21_2021,2021,July,Yellowfin tuna,B ,38
BOFI_07_21_2021,2021,July,Bigeye tuna,B ,29.1
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,40
BOFI_07_21_2021,2021,July,Yellowfin tuna,B+,31.6
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,39.5
BOFI_07_21_2021,2021,July,Bigeye tuna,B+,53.2
BOFI_07_21_2021,2021,July,Bigeye tuna,B+,25.5
BOFI_07_21_2021,2021,July,Yellowfin tuna,B+,25.8
BOFI_07_21_2021,2021,July,Yellowfin tuna,A,36.7
