ID,LATITUDE,LONGITUDE,BOFI_ID,Fishing date,Month,Big eye,Yellowfin,Other,Shark,Albacore,Skipjack,Total
1,8.15,132.4,BOFI_07_08_2021,6/30/2021,June,2,3,2,0,0,0,7
2,8.23,132.24,BOFI_07_08_2021,7/1/201,July,0,5,2,0,0,0,7
3,8.05,132.18,BOFI_07_08_2021,7/2/2021,July,3,4,4,4,0,0,15
4,8,132.1,BOFI_07_08_2021,7/3/2021,July,6,2,4,0,0,0,12
5,8,132,BOFI_07_08_2021,7/4/2021,July,8,0,1,3,0,0,12
6,7.55,132.05,BOFI_07_08_2021,7/5/2021,July,3,3,6,6,0,0,18
7,8.06,132.11,BOFI_07_08_2021,7/6/2021,July,1,1,0,0,0,0,2
8,7.12,132.4,BOFI_07_21_2021,7/11/2021,July,0,0,1,0,0,0,1
9,7.3,132,BOFI_07_21_2021,7/12/2021,July,1,0,5,0,0,0,6
10,8.15,131.5,BOFI_07_21_2021,7/13/2021,July,2,3,0,3,0,0,8
11,8.1,131.55,BOFI_07_21_2021,7/14/2021,July,2,1,1,0,0,0,4
12,8.02,133,BOFI_07_21_2021,7/16/2021,July,1,0,4,0,0,0,5
13,8.11,133.18,BOFI_07_21_2021,7/17/2021,July,1,0,1,5,0,0,7
14,7.25,133.39,BOFI_07_21_2021,7/19/2021,July,3,3,4,0,0,0,10
15,7.25,133.4,BOFI_07_21_2021,7/20/2021,July,1,16,3,2,0,0,22
16,7.14,133.33,BOFI_08_2_2021,7/25/2021,July,0,1,10,0,0,0,11
17,7.3,133.4,BOFI_08_2_2021,7/26/2021,July,0,4,3,3,2,0,12
18,7.33,133.39,BOFI_08_2_2021,7/27/2021,July,3,2,0,0,0,0,5
19,7.5,133.32,BOFI_08_2_2021,7/28/2021,July,4,2,5,0,0,0,11
20,8,133.32,BOFI_08_2_2021,7/29/2021,July,1,1,0,0,0,0,2
21,8.05,133.36,BOFI_08_2_2021,7/30/2021,July,2,1,5,4,0,0,12
22,8,133.36,BOFI_08_2_2021,7/31/2021,July,1,3,6,2,0,0,12
23,7.48,133.4,BOFI_08_12_2021,8/4/2021,August,2,3,1,0,0,0,6
24,7.48,133.4,BOFI_08_12_2021,8/5/2021,August,1,5,0,2,0,0,8
25,7.48,133.4,BOFI_08_12_2021,8/6/2021,August,3,3,5,0,0,0,11
26,7.42,133.4,BOFI_08_12_2021,8/7/2021,August,1,0,1,3,0,0,5
27,7.57,133.15,BOFI_08_12_2021,8/8/2021,August,2,0,5,0,1,0,8
28,8,13.23,BOFI_08_12_2021,8/9/2021,August,2,1,2,0,0,0,5
29,7.5,133.3,BOFI_08_12_2021,8/10/2021,August,5,1,0,0,1,0,7
30,7.5,133.3,BOFI_08_12_2021,8/11/2021,August,6,0,1,5,0,0,12
31,8.05,133.4,BOFI_09_1_2021,8/22/2021,August,3,0,7,0,0,0,10
32,8.1,133.3,BOFI_09_1_2021,8/23/2021,August,3,5,6,0,0,0,14
